Buyers Data:
Price Limit, Quantity
6.4, 9
7.6, 7
6.9, 11
6.6, 8
5.8, 14
7.1, 6
5.8, 8
9.0, 1
7.8, 6
6.4, 10
8.4, 9
6.4, 12
7.9, 10
5.5, 9
8.4, 13
8.2, 3
8.9, 7
6.4, 8
6.4, 8
8.4, 6
6.1, 12
6.6, 2
6.5, 3
8.1, 6
6.7, 14
8.2, 1
7.8, 13
8.5, 6
8.4, 12
6.6, 13
7.5, 10
8.4, 11
8.8, 13
5.1, 10
8.7, 8
7.4, 7
6.3, 8
7.4, 12
6.0, 8
8.2, 14
7.6, 4
8.2, 7
5.0, 11
7.7, 5
7.5, 6
9.0, 11
6.8, 11
6.0, 9
7.7, 8
7.0, 14
8.0, 5
5.6, 7
5.4, 11
5.5, 11
6.4, 9
6.8, 9
6.7, 12
7.8, 11
8.8, 6
6.4, 10
7.6, 13

Sellers Data:
Price Min, Quantity
7.6, 9
5.7, 12
6.1, 13
3.1, 6
7.6, 8
7.8, 11
6.4, 6
8.3, 12
6.3, 12
8.5, 1
6.3, 12
5.0, 14
7.0, 11
4.1, 4
4.2, 1
8.4, 4
7.7, 8
3.5, 12
8.1, 4
6.2, 8
4.2, 8
5.0, 3
6.0, 7
5.1, 4
7.6, 5
4.3, 7
4.1, 13
8.0, 4
8.8, 5
3.6, 14
6.1, 11
7.2, 1
5.6, 2
8.7, 2
3.2, 4
3.6, 5
3.5, 13
8.5, 6
3.7, 5
8.5, 5
5.0, 11
6.7, 14
4.6, 2
7.6, 2
4.6, 14
5.5, 8
8.4, 9
4.4, 5
7.1, 1
7.8, 6
7.1, 2
7.1, 9
5.0, 7
7.5, 14
5.6, 11
5.8, 6
4.5, 13
6.6, 8
5.6, 9
7.3, 2
8.3, 6
4.4, 4
4.0, 14
8.0, 7
